region_id,country_name,income_id,gdp,food_organic_waste_percent,glass_percent,metal_percent,other_percent,plastic_percent,population,e_waste_tons_year,total_solid_waste_generated_tons_year,waste_treatment_recycling_percent
SAS,Nepal,LIC,19856634053.00,52.39,4.36,1.90,26.23,15.14,28982771.00,23000.00,1768977.49,NULL
EAS,Nauru,UMC,125930267.70,43.60,5.50,10.00,24.40,16.50,13049.00,NULL,6191.75,NULL
EAS,New Zealand,HIC,176129000000.00,28.00,4.00,4.50,56.00,8.00,4692700.00,95000.00,3410000.00,NULL
MEA,Oman,HIC,75054356307.00,27.00,6.00,NULL,46.00,21.00,3960925.00,59000.00,1734885.15,NULL
SAS,Pakistan,LMC,227867000000.00,30.00,6.00,4.00,51.00,9.00,193203476.00,301000.00,30800000.00,8.00
LCN,Panama,HIC,44789036003.00,46.40,5.80,3.80,32.00,12.00,3969249.00,3200.00,1472262.22,NULL
LCN,Peru,UMC,193653000000.00,50.43,3.05,2.64,33.36,10.52,30973354.00,182000.00,8356711.13,4.00
EAS,Philippines,LMC,284349000000.00,52.31,2.34,4.22,30.59,10.55,103320222.00,290000.00,14631922.90,28.00
EAS,Palau,HIC,225308048.60,26.00,5.00,10.00,27.00,32.00,21503.00,200.00,9426.75,NULL
EAS,Papua New Guinea,LMC,19389192291.00,31.00,NULL,NULL,58.60,10.00,7755785.00,7000.00,1000000.00,2.00
ECS,Poland,HIC,572132000000.00,37.27,10.07,2.17,38.36,12.13,37986412.00,224452.00,10900000.00,26.39
LCN,Puerto Rico,HIC,93028633826.00,13.10,2.40,10.40,63.70,10.40,3473181.00,946.44,4170953.00,14.00
ECS,Portugal,HIC,231745000000.00,36.49,6.73,1.85,44.19,10.72,10401062.00,170078.00,4710000.00,16.23
LCN,Paraguay,UMC,26400622643.00,NULL,NULL,NULL,0.00,NULL,6639119.00,34200.00,1818501.37,NULL
MEA,West Bank and Gaza,LMC,11767216976.00,59.10,2.40,2.70,21.60,14.20,4046901.00,NULL,1390000.00,0.50
MEA,Qatar,HIC,170663000000.00,57.00,4.00,9.00,16.00,14.00,2109568.00,29000.00,1000990.02,3.00
ECS,Romania,UMC,200217000000.00,56.26,4.89,2.50,24.02,12.33,19815481.00,132268.00,4900000.00,5.67
ECS,Russian Federation,UMC,1654430000000.00,28.41,16.82,1.83,38.73,14.21,143201676.00,1390000.00,60000000.00,4.50
SSF,Rwanda,LIC,8805014649.00,NULL,NULL,NULL,0.00,NULL,11917508.00,5900.00,4384969.00,NULL
MEA,Saudi Arabia,HIC,690000000000.00,45.50,4.00,5.00,34.50,11.00,31557144.00,508000.00,16125700.58,15.00
SSF,Sudan,LMC,76149479953.00,51.40,3.50,1.70,30.70,12.70,38647803.00,51000.00,2831291.00,NULL
SSF,Senegal,LIC,16833353304.00,12.00,2.00,2.00,75.00,9.00,15411614.00,15000.00,2454059.25,NULL
EAS,Singapore,HIC,299170000000.00,10.51,0.93,19.12,58.88,10.58,5607283.00,100000.00,7704300.00,61.00
EAS,Solomon Islands,LMC,900859048.90,42.80,6.65,13.15,15.05,22.35,563513.00,400.00,179971.96,NULL
SSF,Sierra Leone,LIC,3355384560.00,NULL,NULL,NULL,0.00,NULL,5439695.00,3400.00,610222.09,NULL
LCN,El Salvador,LMC,21588556542.00,65.00,4.00,2.00,19.00,10.00,6164626.00,30100.00,1648996.18,NULL
ECS,San Marino,HIC,1746352442.00,5.35,5.61,0.90,82.54,5.60,33203.00,NULL,17174.68,45.05
SSF,Somalia,LIC,4720000000.00,NULL,NULL,NULL,0.00,NULL,14317996.00,NULL,2326099.17,NULL
ECS,Serbia,UMC,41308012850.00,37.62,5.44,1.38,42.83,12.73,7095383.00,14388.00,1840000.00,0.76
SSF,South Sudan,LIC,4660000000.00,NULL,NULL,NULL,0.00,NULL,11177490.00,NULL,2680681.00,NULL
SSF,Sao Tome and Principe,LMC,256822056.30,NULL,NULL,NULL,0.00,NULL,191266.00,200.00,25586.50,NULL
LCN,Suriname,UMC,4527379879.00,57.00,3.00,3.00,24.00,11.00,526103.00,5000.00,78619.80,NULL
ECS,Slovak Republic,HIC,104679000000.00,42.00,19.00,2.00,26.00,11.00,5423801.00,30911.00,1780000.00,7.62
ECS,Slovenia,HIC,50511749002.00,NULL,NULL,NULL,0.00,NULL,2063531.00,26359.00,926000.00,46.44
ECS,Sweden,HIC,560387000000.00,23.34,9.15,9.20,51.73,6.58,9799186.00,721671.00,4380000.00,32.37
SSF,Eswatini,LMC,5246492516.00,NULL,NULL,NULL,0.00,NULL,1343098.00,5700.00,218199.47,NULL
SSF,Seychelles,HIC,1287449683.00,48.50,5.20,4.60,32.40,9.90,88303.00,1100.00,48000.00,NULL
MEA,Syrian Arab Republic,LIC,232000000000.00,57.00,3.00,4.00,29.00,7.00,20824893.00,NULL,4500000.00,2.50
SSF,Chad,LIC,12642608725.00,70.00,1.00,2.00,21.00,6.00,11887202.00,8800.00,1358850.53,NULL
SSF,Togo,LIC,4264876064.00,38.00,2.00,4.00,46.00,10.00,7228915.00,6400.00,1109030.45,2.00
EAS,Thailand,UMC,407015000000.00,65.52,3.04,1.85,13.60,17.59,68657600.00,384233.00,26853366.00,19.10
ECS,Tajikistan,LIC,8458800788.00,NULL,NULL,NULL,0.00,NULL,8177809.00,NULL,1787400.00,NULL
ECS,Turkmenistan,UMC,39563379206.00,16.18,4.64,11.44,65.55,2.19,5366277.00,22000.00,500000.00,NULL
EAS,Timor-Leste,LMC,3765074847.00,43.60,5.50,10.00,24.40,16.50,1268671.00,3600.00,63875.00,NULL
EAS,Tonga,UMC,406237705.30,51.30,5.90,9.00,20.40,13.40,104951.00,300.00,17238.20,NULL
LCN,Trinidad and Tobago,HIC,21519942195.00,27.15,10.15,3.74,39.79,19.17,1328100.00,71.07,727874.00,NULL
MEA,Tunisia,LMC,48682059522.00,68.00,2.00,4.00,15.00,11.00,11143908.00,90000.00,2700000.00,4.00
ECS,Turkey,UMC,1122510000000.00,64.00,2.00,1.00,30.00,3.00,78271472.00,623000.00,31300000.00,NULL
EAS,Tuvalu,UMC,39216157.28,43.60,5.50,10.00,24.40,16.50,11097.00,10.00,3989.49,15.00
EAS,Taiwan,HIC,608130000000.00,23.34,4.11,3.07,49.15,20.23,23400000.00,14036.00,7340000.00,NULL
SSF,Tanzania,LIC,46775259596.00,NULL,NULL,NULL,0.00,NULL,49082997.00,38000.00,9276995.00,NULL
SSF,Uganda,LIC,27483055272.00,74.50,0.80,0.60,16.60,7.60,35093648.00,25000.00,7045049.84,6.00
ECS,Ukraine,LMC,124000000000.00,37.00,5.00,4.00,47.00,7.00,45004645.00,277000.00,15242025.00,3.20
LCN,Uruguay,HIC,48362932954.00,53.50,3.00,5.00,27.50,11.00,3431552.00,37000.00,1260139.51,8.00
NAC,United States,HIC,16920300000000.00,14.90,4.40,9.00,58.80,12.90,318563456.00,2440000.00,258000000.00,34.60
ECS,Uzbekistan,LMC,62469088152.00,40.00,3.00,2.00,40.50,2.50,29774500.00,NULL,4000000.00,NULL
LCN,St. Vincent and the Grenadines,UMC,729264939.60,49.60,5.60,3.80,32.60,8.40,109455.00,900.00,31561.35,NULL
LCN,"Venezuela, RB",UMC,98400000000.00,NULL,NULL,NULL,0.00,NULL,29893080.00,232700.00,9779093.14,NULL
EAS,Vietnam,LMC,164105000000.00,61.90,2.18,0.58,24.72,12.15,86932500.00,141000.00,9570300.00,23.00
EAS,Vanuatu,LMC,777052317.50,73.40,5.40,3.80,10.95,6.45,270402.00,300.00,70225.49,37.00
EAS,Samoa,UMC,738041747.00,42.60,2.20,8.80,33.40,13.00,187665.00,500.00,27399.09,36.00
ECS,Kosovo,LMC,7129271792.00,42.00,6.00,6.00,35.00,11.00,1801800.00,23.00,319000.00,NULL
MEA,"Yemen, Rep.",LIC,11927030389.00,65.00,1.00,6.00,18.00,10.00,27584213.00,42000.00,4836820.00,8.00
SSF,South Africa,UMC,421209000000.00,16.38,5.20,16.91,54.42,7.09,51729345.36,321000.00,18457232.00,28.00
SSF,Zambia,LMC,27037168289.00,NULL,NULL,NULL,0.00,NULL,14264756.00,15000.00,2608268.00,NULL
SSF,Zimbabwe,LIC,14818986231.00,36.00,5.00,6.00,30.00,23.00,12500525.00,13000.00,1449752.00,16.00
